path,class,label
chart/2015/01/fig201501020000.png,2,up
chart/2015/01/fig201501020100.png,2,up
chart/2015/01/fig201501020200.png,2,up
chart/2015/01/fig201501020300.png,2,up
chart/2015/01/fig201501020400.png,1,stay
chart/2015/01/fig201501020500.png,2,up
chart/2015/01/fig201501020600.png,1,stay
chart/2015/01/fig201501020700.png,1,stay
chart/2015/01/fig201501020800.png,1,stay
chart/2015/01/fig201501020900.png,0,down
chart/2015/01/fig201501021000.png,2,up
chart/2015/01/fig201501021100.png,1,stay
chart/2015/01/fig201501021200.png,1,stay
chart/2015/01/fig201501021300.png,2,up
chart/2015/01/fig201501021400.png,1,stay
chart/2015/01/fig201501021500.png,2,up
chart/2015/01/fig201501021600.png,0,down
chart/2015/01/fig201501021700.png,1,stay
chart/2015/01/fig201501021800.png,1,stay
chart/2015/01/fig201501021900.png,2,up
chart/2015/01/fig201501022000.png,1,stay
chart/2015/01/fig201501022100.png,2,up
chart/2015/01/fig201501022200.png,1,stay
chart/2015/01/fig201501022300.png,2,up
chart/2015/01/fig201501050000.png,0,down
chart/2015/01/fig201501050100.png,0,down
chart/2015/01/fig201501050200.png,2,up
chart/2015/01/fig201501050300.png,0,down
chart/2015/01/fig201501050400.png,2,up
chart/2015/01/fig201501050500.png,0,down
chart/2015/01/fig201501050600.png,0,down
chart/2015/01/fig201501050700.png,1,stay
chart/2015/01/fig201501050800.png,1,stay
chart/2015/01/fig201501050900.png,1,stay
chart/2015/01/fig201501051000.png,0,down
chart/2015/01/fig201501051100.png,2,up
chart/2015/01/fig201501051200.png,0,down
chart/2015/01/fig201501051300.png,0,down
chart/2015/01/fig201501051400.png,0,down
chart/2015/01/fig201501051500.png,0,down
chart/2015/01/fig201501051600.png,2,up
chart/2015/01/fig201501051700.png,2,up
chart/2015/01/fig201501051800.png,1,stay
chart/2015/01/fig201501051900.png,2,up
chart/2015/01/fig201501052000.png,0,down
chart/2015/01/fig201501052100.png,2,up
chart/2015/01/fig201501052200.png,1,stay
chart/2015/01/fig201501052300.png,0,down
chart/2015/01/fig201501060000.png,2,up
chart/2015/01/fig201501060100.png,0,down
chart/2015/01/fig201501060200.png,2,up
chart/2015/01/fig201501060300.png,0,down
chart/2015/01/fig201501060400.png,1,stay
chart/2015/01/fig201501060500.png,0,down
chart/2015/01/fig201501060600.png,0,down
chart/2015/01/fig201501060700.png,0,down
chart/2015/01/fig201501060800.png,2,up
chart/2015/01/fig201501060900.png,0,down
chart/2015/01/fig201501061000.png,1,stay
chart/2015/01/fig201501061100.png,2,up
chart/2015/01/fig201501061200.png,2,up
chart/2015/01/fig201501061300.png,0,down
chart/2015/01/fig201501061400.png,0,down
chart/2015/01/fig201501061500.png,0,down
chart/2015/01/fig201501061600.png,0,down
chart/2015/01/fig201501061700.png,0,down
chart/2015/01/fig201501061800.png,2,up
chart/2015/01/fig201501061900.png,0,down
chart/2015/01/fig201501062000.png,2,up
chart/2015/01/fig201501062100.png,0,down
chart/2015/01/fig201501062200.png,0,down
chart/2015/01/fig201501062300.png,2,up
chart/2015/01/fig201501070000.png,2,up
chart/2015/01/fig201501070100.png,2,up
chart/2015/01/fig201501070200.png,2,up
chart/2015/01/fig201501070300.png,2,up
chart/2015/01/fig201501070400.png,0,down
chart/2015/01/fig201501070500.png,1,stay
chart/2015/01/fig201501070600.png,0,down
chart/2015/01/fig201501070700.png,2,up
chart/2015/01/fig201501070800.png,1,stay
chart/2015/01/fig201501070900.png,1,stay
chart/2015/01/fig201501071000.png,0,down
chart/2015/01/fig201501071100.png,2,up
chart/2015/01/fig201501071200.png,1,stay
chart/2015/01/fig201501071300.png,1,stay
chart/2015/01/fig201501071400.png,2,up
chart/2015/01/fig201501071500.png,2,up
chart/2015/01/fig201501071600.png,0,down
chart/2015/01/fig201501071700.png,2,up
chart/2015/01/fig201501071800.png,1,stay
chart/2015/01/fig201501071900.png,0,down
chart/2015/01/fig201501072000.png,0,down
chart/2015/01/fig201501072100.png,2,up
chart/2015/01/fig201501072200.png,2,up
chart/2015/01/fig201501072300.png,2,up
chart/2015/01/fig201501080000.png,1,stay
chart/2015/01/fig201501080100.png,2,up
chart/2015/01/fig201501080200.png,2,up
chart/2015/01/fig201501080300.png,1,stay
chart/2015/01/fig201501080400.png,1,stay
chart/2015/01/fig201501080500.png,2,up
chart/2015/01/fig201501080600.png,1,stay
chart/2015/01/fig201501080700.png,2,up
chart/2015/01/fig201501080800.png,0,down
chart/2015/01/fig201501080900.png,0,down
chart/2015/01/fig201501081000.png,1,stay
chart/2015/01/fig201501081100.png,2,up
chart/2015/01/fig201501081200.png,1,stay
chart/2015/01/fig201501081300.png,0,down
chart/2015/01/fig201501081400.png,0,down
chart/2015/01/fig201501081500.png,2,up
chart/2015/01/fig201501081600.png,2,up
chart/2015/01/fig201501081700.png,0,down
chart/2015/01/fig201501081800.png,1,stay
chart/2015/01/fig201501081900.png,2,up
chart/2015/01/fig201501082000.png,2,up
chart/2015/01/fig201501082100.png,1,stay
chart/2015/01/fig201501082200.png,1,stay
chart/2015/01/fig201501082300.png,2,up
chart/2015/01/fig201501090000.png,2,up
chart/2015/01/fig201501090100.png,1,stay
chart/2015/01/fig201501090200.png,0,down
chart/2015/01/fig201501090300.png,0,down
chart/2015/01/fig201501090400.png,2,up
chart/2015/01/fig201501090500.png,0,down
chart/2015/01/fig201501090600.png,1,stay
chart/2015/01/fig201501090700.png,2,up
chart/2015/01/fig201501090800.png,1,stay
chart/2015/01/fig201501090900.png,0,down
chart/2015/01/fig201501091000.png,0,down
chart/2015/01/fig201501091100.png,0,down
